DATE,HOUSTCB1FQ_HOUSTOB1FQ,MORTGAGE30US
2002-01-01,1.51,6.89
2002-07-01,1.61,6.18
2003-01-01,1.63,5.67
2003-07-01,1.63,5.97
2004-01-01,1.46,5.86
2004-07-01,1.63,5.82
2005-01-01,1.48,5.74
2005-07-01,1.54,6.0
2006-01-01,1.49,6.42
2006-07-01,1.68,6.4
2007-01-01,1.5,6.29
2007-07-01,1.38,6.39
2008-01-01,1.33,5.98
2008-07-01,1.46,6.07
2009-01-01,1.58,5.04
2009-07-01,1.81,5.04
2010-01-01,1.65,4.96
2010-07-01,1.5,4.44
2011-01-01,1.55,4.75
2011-07-01,1.68,4.15
2012-01-01,1.86,3.86
2012-07-01,1.75,3.46
2013-01-01,1.91,3.58
2013-07-01,2.23,4.37
2014-01-01,2.0,4.3
2014-07-01,2.22,4.05
2015-01-01,2.18,3.77
2015-07-01,2.26,3.93
2016-01-01,2.59,3.66
2016-07-01,2.33,3.64
2017-01-01,2.0,4.08
2017-07-01,2.14,3.9
2018-01-01,2.12,4.41
2018-07-01,2.37,4.68
2019-01-01,2.35,4.19
2019-07-01,2.33,3.68
2020-01-01,2.29,3.38
2020-07-01,2.34,2.85
2021-01-01,2.33,2.94
2021-07-01,2.28,2.97
