DATE,POPTHM
2002-06-30,287574000.0
2002-09-30,288302670.0
2002-12-31,289006670.0
2003-03-31,289609000.0
2003-06-30,290252670.0
2003-09-30,290974000.0
2003-12-31,291669330.0
2004-03-31,292236670.0
2004-06-30,292875330.0
2004-09-30,293603330.0
2004-12-31,294334000.0
2005-03-31,294957330.0
2005-06-30,295588330.0
2005-09-30,296340330.0
2005-12-31,297085670.0
2006-03-31,297736670.0
2006-06-30,298408000.0
2006-09-30,299180000.0
2006-12-31,299946000.0
2007-03-31,300609670.0
2007-06-30,301283670.0
2007-09-30,302062670.0
2007-12-31,302828670.0
2008-03-31,303493670.0
2008-06-30,304159670.0
2008-09-30,304902330.0
2008-12-31,305616670.0
2009-03-31,306236670.0
2009-06-30,306866000.0
2009-09-30,307572670.0
2009-12-31,308285000.0
2010-03-31,308901670.0
2010-06-30,309488330.0
2010-09-30,310148000.0
2010-12-31,310817330.0
2011-03-31,311376000.0
2011-06-30,311940670.0
2011-09-30,312606330.0
2011-12-31,313258000.0
2012-03-31,313813330.0
2012-06-30,314373330.0
2012-09-30,315030330.0
2012-12-31,315684670.0
2013-03-31,316195330.0
2013-06-30,316732670.0
2013-09-30,317396000.0
2013-12-31,318072000.0
2014-03-31,318644330.0
2014-06-30,319227670.0
2014-09-30,319918330.0
2014-12-31,320611330.0
2015-03-31,321168330.0
2015-06-30,321744000.0
2015-09-30,322427670.0
2015-12-31,323110670.0
2016-03-31,323689000.0
2016-06-30,324265670.0
2016-09-30,324925330.0
2016-12-31,325557330.0
2017-03-31,326052670.0
2017-06-30,326554000.0
2017-09-30,327140330.0
2017-12-31,327691670.0
2018-03-31,328091000.0
2018-06-30,328525670.0
2018-09-30,329039670.0
2018-12-31,329521670.0
2019-03-31,329868330.0
2019-06-30,330245330.0
2019-09-30,330728670.0
2019-12-31,331208000.0
2020-03-31,331533670.0
2020-06-30,331692000.0
2020-09-30,331841000.0
2020-12-31,331978330.0
2021-03-31,331948670.0
2021-06-30,332021000.0
2021-09-30,332296670.0
2021-12-31,332583670.0
2022-03-31,332684000.0
