DATE,GFDEBTN
2000-01-01,5773392
2000-04-01,5685938
2000-07-01,5674179
2000-10-01,5662216
2001-01-01,5773740
2001-04-01,5726815
2001-07-01,5807464
2001-10-01,5943439
2002-01-01,6006032
2002-04-01,6126469
2002-07-01,6228236
2002-10-01,6405707
2003-01-01,6460776
2003-04-01,6670121
2003-07-01,6783320
2003-10-01,6997964
2004-01-01,7131068
2004-04-01,7274335
2004-07-01,7379053
2004-10-01,7596143
2005-01-01,7776939
2005-04-01,7836496
2005-07-01,7932710
2005-10-01,8170413
2006-01-01,8371156
2006-04-01,8420042
2006-07-01,8506974
2006-10-01,8680224
2007-01-01,8849665
2007-04-01,8867677
2007-07-01,9007653
2007-10-01,9229172
2008-01-01,9437594
2008-04-01,9492006
2008-07-01,10024725
2008-10-01,10699805
2009-01-01,11126941
2009-04-01,11545275
2009-07-01,11909828
2009-10-01,12311349
2010-01-01,12773123
2010-04-01,13201792
2010-07-01,13561622
2010-10-01,14025215
2011-01-01,14270114
2011-04-01,14343087
2011-07-01,14790340
2011-10-01,15222940
2012-01-01,15606518
2012-04-01,15855037
2012-07-01,16066240
2012-10-01,16432730
2013-01-01,16771381
2013-04-01,16738320
2013-07-01,16738180
2013-10-01,17156119
2014-01-01,17601227
2014-04-01,17632606
2014-07-01,17824071
2014-10-01,18141444
2015-01-01,18152056
2015-04-01,18151998
2015-07-01,18150618
2015-10-01,18922179
2016-01-01,19264939
2016-04-01,19381591
2016-07-01,19573445
2016-10-01,19976827
2017-01-01,19846420
2017-04-01,19844554
2017-07-01,20244900
2017-10-01,20492747
2018-01-01,21089643
2018-04-01,21195070.0
2018-07-01,21516058.0
2018-10-01,21974096.0
2019-01-01,22027880.0
2019-04-01,22023283.0
2019-07-01,22719402.0
2019-10-01,23201380.0
2020-01-01,23223813.0
2020-04-01,26477241.0
2020-07-01,26945391.0
2020-10-01,27747798.0
2021-01-01,28132570.0
2021-04-01,28529436.0
2021-07-01,28428919.0
2021-10-01,29617215.0
