DATE,Income,Foreclosures,Population,Existing Homes Sold,Tot Permits Issued,Single Family Units Sold,Unemployment,MDSP,Family Size,Mortgage,CSUSHPISA
2000-12-31,61845.55,1299518.25,313503731.8650794,5.227058823529412,923.710238095238,689.6294047619047,6.0182142857142855,5.3712301587301585,2.03024,4.682420634920635,169.05750000000003
2001-12-31,61889.0,1299518.25,313503731.8650794,5.227058823529412,923.710238095238,689.6294047619047,6.0182142857142855,5.93,1.98775,4.682420634920635,113.178083333333
2002-12-31,61190.0,1299518.25,288294446.666667,5.227058823529412,1339.0,995.89,5.81,5.8075,1.99063,6.39333333333333,122.277833333333
2003-12-31,61113.0,1299518.25,290626250.0,5.227058823529412,1461.085,1090.665,5.99,5.8275,1.98753,5.825,133.730666666667
2004-12-31,60901.0,1299518.25,293262332.5,5.227058823529412,1604.2525,1200.8325,5.54,5.895,1.99426,5.835,150.439583333333
2005-12-31,61553.0,532833.0,295992915.0,7.08,1684.4975,1278.915,5.085,6.355,1.99468,5.8675,171.73675
2006-12-31,62033.0,717522.0,298817667.5,6.52,1380.4175,1049.3325,4.605,6.755,2.00041,6.4125,183.447416666667
2007-12-31,62865.0,1285873.0,301696170.0,5.02,971.5825,768.6675,4.6175,7.065,1.99866,6.335,179.919333333333
2008-12-31,60624.0,2330483.0,304543085.0,4.12,567.4175,482.165,5.8,6.9875,2.0019,6.03,164.058166666667
2009-12-31,60200.0,2824764.0,307240085.0,4.34,439.585,374.25,9.2825,6.705,2.01228,5.0375,148.542833333333
2010-12-31,58627.0,2871891.0,309838832.5,4.18,448.0,321.25,9.6075,6.135,2.02343,4.7025,144.672166666667
2011-12-31,57732.0,1887777.0,312295250.0,4.26,420.0,306.415,8.9325,5.5875,1.99803,4.4475,139.26075
2012-12-31,57623.0,1836634.0,314725415.0,4.66,519.6675,368.0825,8.075,5.1325,2.00922,3.655,140.995166666667
2013-12-31,59640.0,1361795.0,317099000.0,5.09,619.0825,429.8325,7.355,4.9175,2.00622,3.975,154.524666666667
2014-12-31,58725.0,1117426.0,319600415.0,4.94,639.8325,440.2525,6.16,4.635,2.01208,4.1725,164.704916666667
2015-12-31,61748.0,1083572.0,322112667.5,5.25,694.5825,502.585,5.2725,4.47,2.01306,3.8475,172.195333333333
2016-12-31,63683.0,933045.0,324609332.5,5.45,750.6675,560.5,4.875,4.405,2.0151,3.655,180.941583333333
2017-12-31,64557.0,676535.0,326859667.5,5.51,823.0,615.915,4.36,4.26,2.02084,3.9875,191.416
2018-12-31,65127.0,624753.0,328794502.5,5.34,853.7475,613.835,3.89,4.16,2.02052,4.5425,202.493
2019-12-31,69560.0,493066.0,330512582.5,5.34,863.5,683.1675,3.675,4.1475,2.01569,3.935,209.4895
2020-12-31,67521.0,214323.0,331761250.0,5.64,988.165,827.5825,8.0925,3.915,2.02668,3.1175,222.166
2021-12-31,61845.55,1299518.25,332212502.5,6.12,1116.8325,771.0825,5.3575,3.70333333333333,2.007581428571428,2.9575,260.01775
2022-12-31,61845.55,1299518.25,332684000.0,5.227058823529412,1213.0,801.0,4.0,5.3712301587301585,2.007581428571428,3.6,169.05750000000003
